"Ta","Humidity","maxTime","Pdgrowth"
1,62,840,0.0922307619452922
2,62,984,0.108041534281579
3,62,1200,0.13175769278601
4,62,1512,0.166014366181299
5,62,2088,0.229257455526447
6,62,3312,0.363649020384888
7,62,3000,0.381049893883212
8,62,2712,0.38931864394757
9,62,2400,0.381947506828447
10,62,2136,0.370438565472997
11,62,1872,0.348012345064694
12,62,1656,0.324418630754889
13,62,1440,0.291622868993554
14,62,1272,0.260124603923844
15,62,1104,0.221009940490954
16,62,960,0.179844488251489
17,62,840,0.136858252586663
18,62,744,0.0914474746833651
19,62,648,0.0401089083527557
20,62,576,0
21,62,504,0
22,62,432,0
-10,63,312,0.0357323701930131
-9,63,336,0.0384809132281882
-8,63,336,0.0384809132281882
-7,63,384,0.0439779992985386
-6,63,408,0.0467265423337137
-5,63,432,0.0494750853688888
-4,63,480,0.0549721714392392
-3,63,504,0.0577207144744144
-2,63,576,0.0659663435799398
-1,63,648,0.0742119726854653
0,63,720,0.0824576017909908
1,63,840,0.0962003169668666
2,63,984,0.112691575177918
3,63,1200,0.137428462494494
4,63,1512,0.173159521951771
5,63,2088,0.239124554795975
6,63,3312,0.379300249589907
7,63,3000,0.397450045934777
8,63,2712,0.406074677894153
9,63,2400,0.398386291586702
10,63,2136,0.386382012504589
11,63,1872,0.362990581422979
12,63,1656,0.338381408223531
13,63,1440,0.304174137134502
14,63,1272,0.271320206193219
15,63,1104,0.230522071807988
16,63,960,0.187584883932754
17,63,840,0.142748547238262
18,63,744,0.0953833175050362
19,63,648,0.0418351709922856
20,63,576,0
21,63,504,0
22,63,432,0
-10,64,312,0.0372870306217125
-9,64,336,0.0401551585338572
-8,64,336,0.0401551585338572
-7,64,384,0.0458914143581468
-6,64,408,0.0487595422702915
-5,64,432,0.0516276701824363
-4,64,480,0.0573639260067258
-3,64,504,0.0602320539188706
-2,64,576,0.0688364376553049
-1,64,648,0.0774408213917391
0,64,720,0.0860452051281734
1,64,840,0.100385844688897
2,64,984,0.117594612161766
3,64,1200,0.143407763371069
4,64,1512,0.180693426228951
5,64,2088,0.249528496120425
6,64,3312,0.395803019639807
7,64,3000,0.414742485687915
8,64,2712,0.423742362109019
9,64,2400,0.41571946594711
10,64,2136,0.403192899158829
11,64,1872,0.378783742914384
12,64,1656,0.35310386246687
13,64,1440,0.317408285663761
14,64,1272,0.283124930755197
15,64,1104,0.240551732338364
16,64,960,0.195746413506559
17,64,840,0.148959316813493
18,64,744,0.0995332988379884
19,64,648,0.0436553548904782
20,64,576,0
21,64,504,0
22,64,432,0
-10,65,312,0.0389286412614933
-9,65,336,0.0419230422830362
-8,65,336,0.0419230422830362
-7,65,384,0.0479118443261221
-6,65,408,0.0509062453476651
-5,65,432,0.053900646369208
-4,65,480,0.0598894484122939
-3,65,504,0.0628838494338369
-2,65,576,0.0718670524984658
-1,65,648,0.0808502555630946
0,65,720,0.0898334586277235
1,65,840,0.104805463735438
2,65,984,0.122771869864696
3,65,1200,0.149721479058582
4,65,1512,0.188648692338641
5,65,2088,0.260514316855673
6,65,3312,0.413228768954364
7,65,3000,0.433002069943409
8,65,2712,0.442398177779119
9,65,2400,0.434022063045453
10,65,2136,0.420943997653591
11,65,1872,0.395460196152314
12,65,1656,0.368649725141055
13,65,1440,0.331382603548886
14,65,1272,0.29558987878043
15,65,1104,0.251142339223387
16,65,960,0.204364407209822
17,65,840,0.155517446954141
18,65,744,0.10391538343042
19,65,648,0.045577339394921
20,65,576,0
21,65,504,0
22,65,432,0
-10,66,312,0.0406647064922862
-9,66,336,0.0437926460944755
-8,66,336,0.0437926460944755
-7,66,384,0.0500485252988542
-6,66,408,0.0531764649010435
-5,66,432,0.0563044045032328
-4,66,480,0.0625602837076115
